,,,,,,,,,,
Type(number),Type (file name),Date,Authors (full name),Authors (initials),Title,Reference (text),Link (text),Link (http),2nd Link (text),2nd Link (http)
5,old-systems,2019-03-19,"Daniel Lam, Rychard J. Bouwens, Dan Coe, Adi Zitrin, Christopher Barber, Ivo Labbe, Themiya Nanayakkara, Megan Donahue, Renske Smit, Xinwen Shu, Ranga-Ram Chary, John Moustakas, Mario Nonino, Daniel D. Kelson, Tom Broadhurst, Larry Bradley, Mauricio Carrasco, Piero Rosati","D. Lam, R.J. Bouwens, D. Coe, A. Zitrin, C. Barber, I. Labbe, T. Nanayakkara, M. Donahue, R. Smit, X. Shu, R.-R. Chary, J. Moustakas, M. Nonino, D.D. Kelson, T. Broadhurst, L. Bradley, M. Carrasco, P. Rosati","Detection of a Lensed z≈11 Galaxy in the Rest-Optical with Spitzer/IRAC and the Inferred SFR, Stellar Mass, and Physical Size","Submitted to ApJ, 2019",arXiv:1903.08177,https://arxiv.org/abs/1903.08177,,
6,cosmology,2010-10-01,"Utane Sawangwit, Tom Shanks","U. Sawangwit, T. Shanks",Is everything we know about the universe wrong?,"Astronomy & Geophysics 51, Issue 5, p. 5.14, October 2010",doi: 10.1111/j.1468-4004.2010.51514.x,https://doi.org/10.1111/j.1468-4004.2010.51514.x,,
2,microwave-background,2018-07-20,"Maxim Pospelov, Josef Pradler, Joshua T. Ruderman, Alfredo Urbano","M. Pospelov, J. Pradler, J.T. Ruderman, A. Urbano",Room for New Physics in the Rayleigh-Jeans Tail of the Cosmic Microwave Background,"Phys. Rev. Lett. 121, 031103, July 2018",doi: 10.1103/PhysRevLett.121.031103,https://doi.org/10.1103/PhysRevLett.121.031103,arXiv:1803.07048,https://arxiv.org/abs/1803.07048
2,microwave-background,2017-05-06,Václav Vavryčuk,V. Vavryčuk,Missing dust signature in the cosmic microwave background,"Monthly Notices of the Royal Astronomical Society: Letters 470, Issue 1, Page L44, September 2017",doi: 10.1093/mnrasl/slx069,https://doi.org/10.1093/mnrasl/slx069,arXiv:1706.04771,https://arxiv.org/abs/1706.04771
2,microwave-background,2018-10-29,"Marvin Pinkwart, Dominik J. Schwarz","M. Pinkwart, D.J. Schwarz",Multipole vectors of completely random microwave skies for l≤50,"Phys. Rev. D 98, 083536, October 2018",doi: 10.1103/PhysRevD.98.083536,https://dx.doi.org/10.1103/PhysRevD.98.083536,arXiv:1803.07473,https://arxiv.org/abs/1803.07473
2,microwave-background,2015-11-13,"Valery V. Dikarev, Dominik J. Schwarz","V.V. Dikarev, D.J. Schwarz",The Microwave Thermal Emission from the Zodiacal Dust Cloud Predicted with Contemporary Meteoroid Models,"Astronomy and Astrophysics 584, A9 2015",doi: 10.1051/0004-6361/201525690,https://doi.org/10.1051/0004-6361/201525690,arXiv:1501.04780,https://arxiv.org/abs/1501.04780
2,microwave-background,2015-06-01,"Craig J. Copi, Dragan Huterer, Dominik J. Schwarz, Glenn D. Starkman","C.J. Copi, D. Huterer, D.J. Schwarz, G.D. Starkman",Large-scale alignments from WMAP and Planck,"Monthly Notices of the Royal Astronomical Society 449, Issue 4, 3458, 2015",doi: 10.1093/mnras/stv501,https://doi.org/10.1093/mnras/stv501,arXiv:1311.4562,https://arxiv.org/abs/1311.4562
2,microwave-background,2015-08-11,"Craig J. Copi, Dragan Huterer, Dominik J. Schwarz, Glenn D. Starkman","C.J. Copi, D. Huterer, D.J. Schwarz, G.D. Starkman",Lack of large-angle TT correlations persists in WMAP and Planck,"Monthly Notices of the Royal Astronomical Society 451, Issue 3, p. 2978, 2015",doi: 10.1093/mnras/stv1143,https://doi.org/10.1093/mnras/stv1143,arXiv:1310.3831,https://arxiv.org/abs/1310.3831
4,galaxy and structure formation,2019-04-03,"C. Ha, G. Adhikari, P. Adhikari, E. Barbosa de Souza, N. Carlin, S. Choi, M. Djamal, A. C. Ezeribe, I. S. Hahn, E. J. Jeon, J. H. Jo, H. W. Joo, W. G. Kang, W. Kang, M. Kauer, G. S. Kim, H. Kim, H. J. Kim, K. W. Kim, N. Y. Kim, S. K. Kim, Y. D. Kim, Y. H. Kim, Y. J. Ko, V. A. Kudryavtsev, H. S. Lee, J. Lee, J. Y. Lee, M. H. Lee, D. S. Leonard, W. A. Lynch, R. H. Maruyama, F. Mouton, S. L. Olsen, B. J. Park, H. K. Park, H. S. Park, K. S. Park, R. L. C. Pitta, H. Prihtiadi, S. J. Ra, C. Rott, K. A. Shin, A. Scarff, N. J. C. Spooner, W. G. Thompson, L. Yang, G. H. Yu","C. Ha, G. Adhikari, P. Adhikari, E. Barbosa de Souza, N. Carlin, S. Choi, M. Djamal, A.C. Ezeribe, I.S. Hahn, E.J. Jeon, J.H. Jo, H.W. Joo, W.G. Kang, W. Kang, M. Kauer, G.S. Kim, H. Kim, H.J. Kim, K.W. Kim, N.Y. Kim, S.K. Kim, Y.D. Kim, Y.H. Kim, Y.J. Ko, V.A. Kudryavtsev, H.S. Lee, J. Lee, J.Y. Lee, M.H. Lee, D.S. Leonard, W.A. Lynch, R.H. Maruyama, F. Mouton, S.L. Olsen, B.J. Park, H.K. Park, H.S. Park, K.S. Park, R.L.C. Pitta, H. Prihtiadi, S.J. Ra, C. Rott, K.A. Shin, A. Scarff, N.J.C. Spooner, W.G. Thompson, L. Yang, G.H. Yu",The First Direct Search for Inelastic Boosted Dark Matter with COSINE-100,"Phys. Rev. Lett. 122, 131802, 2019",doi: 10.1103/PhysRevLett.122.131802,https://doi.org/10.1103/PhysRevLett.122.131802,arXiv:1811.09344,https://arxiv.org/abs/1811.09344
4,galaxy and structure formation,2019-03-25,"Aaron D. Ludlow, Joop Schaye, Matthieu Schaller, Jack Richings","A.D. Ludlow, J. Schaye, M. Schaller, J. Richings",Energy equipartition between stellar and dark matter particles in cosmological simulations results in spurious growth of galaxy sizes,arXiv Astrophysics of Galaxies (astro-ph.GA),arXiv:1903.10110,https://arxiv.org/abs/1903.10110,,
